import time: self [us] | cumulative | imported package
import time:     16926 |     135358 |           _pytest.compat
import time:       262 |        262 |             unicodedata
import time:     23041 |      23303 |           _pytest._io.wcwidth
import time:     35888 |     806907 |         _pytest._io.terminalwriter
import time:     18927 |     825833 |       _pytest._io
import time:      1505 |       1505 |         pprint
import time:     24163 |      25667 |       _pytest._io.saferepr
import time:     58671 |      58671 |         _pytest.warning_types
import time:     19209 |      77879 |       _pytest.deprecated
import time:     26415 |      26415 |         _pytest.outcomes
import time:     27244 |      53659 |       _pytest.pathlib
import time:     56148 |    1278278 |     _pytest._code.code
import time:     26107 |    1304385 |   _pytest._code
import time:       218 |        218 |                 math
import time:       183 |        183 |                 _random
import time:      8115 |       8515 |               random
import time:      5944 |      14458 |             tempfile
import time:      1650 |       1650 |             importlib.resources.abc
import time:      5743 |      21850 |           importlib.resources._common
import time:       572 |        572 |           importlib.resources._functional
import time:      3625 |      26046 |         importlib.resources
import time:      3410 |      29456 |       importlib.resources.abc
import time:       303 |        303 |         importlib.resources._itertools
import time:      3348 |       3651 |       importlib.resources.readers
import time:     26969 |      26969 |             _pytest.assertion._typing
import time:     34633 |      61601 |           _pytest.assertion._compare_mapping
import time:     20119 |      20119 |             _pytest._io.pprint
import time:     26179 |      46297 |           _pytest.assertion._compare_sequence
import time:     21761 |      21761 |           _pytest.assertion._compare_set
import time:     15647 |      15647 |           _pytest.assertion._guards
import time:     15548 |      15548 |             _pytest.assertion.highlight
import time:     14213 |      29761 |           _pytest.assertion.compare_text
import time:     36684 |     211749 |         _pytest.assertion._compare_any
import time:       914 |        914 |             gettext
import time:      3164 |       4077 |           argparse
import time:       954 |        954 |           shlex
import time:     21502 |      21502 |           _pytest.config.exceptions
import time:     10305 |      10305 |                 iniconfig.exceptions
import time:     16241 |      26546 |               iniconfig._parse
import time:     14397 |      40942 |             iniconfig
import time:     18236 |      59177 |           _pytest.config.findpaths
import time:     12845 |      12845 |           _pytest.config.argparsing
import time:      9586 |       9586 |           _pytest.hookspec
import time:      9076 |       9076 |           _pytest.stash
import time:     34969 |     152182 |         _pytest.config
import time:     29932 |     393862 |       _pytest.assertion.util
import time:     25056 |      25056 |               _pytest.mark.expression
import time:      9975 |       9975 |                 _pytest.raises
import time:      9547 |       9547 |                 _pytest.scope
import time:     19345 |      38865 |               _pytest.mark.structures
import time:     23731 |      87651 |             _pytest.mark
import time:      1139 |      88790 |           _pytest.mark.structures
import time:     12089 |     100878 |         _pytest.nodes
import time:     12902 |      12902 |           _pytest.reports
import time:      2354 |       2354 |             bdb
import time:       175 |        175 |                 _datetime
import time:      3744 |       3918 |               datetime
import time:     15824 |      19742 |             _pytest.timing
import time:     14063 |      36159 |           _pytest.runner
import time:     17164 |      66224 |         _pytest.main
import time:     16718 |     183819 |       _pytest.fixtures
import time:     89076 |     699860 |     _pytest.assertion.rewrite
import time:     12003 |      12003 |     _pytest.assertion.truncate
import time:     52514 |     764377 |   _pytest.assertion
import time:     10939 |      10939 |   _pytest.cacheprovider
import time:     14652 |      14652 |   _pytest.capture
import time:      9707 |       9707 |   _pytest.debugging
import time:      1133 |       1133 |       _wmi
import time:      4632 |       5765 |     platform
import time:     20187 |      20187 |     _pytest.python
import time:       856 |        856 |           numbers
import time:      2561 |       3417 |         _decimal
import time:      1452 |       4868 |       decimal
import time:     11367 |      16235 |     _pytest.python_api
import time:     16718 |      58903 |   _pytest.doctest
import time:     12915 |      12915 |   _pytest.freeze_support
import time:       276 |        276 |         _locale
import time:      5638 |       5914 |       locale
import time:      2003 |       2003 |       signal
import time:       861 |        861 |       msvcrt
import time:       183 |        183 |       _posixsubprocess
import time:       187 |        187 |       select
import time:      1596 |       1596 |       selectors
import time:      9041 |      19782 |     subprocess
import time:     14513 |      14513 |     _pytest.monkeypatch
import time:       178 |        178 |       gc
import time:     22320 |      22320 |       _pytest.tmpdir
import time:     33902 |      56399 |     _pytest.pytester
import time:     19962 |      19962 |     _pytest.terminal
import time:     20336 |     130990 |   _pytest.legacypath
import time:       128 |        128 |         _string
import time:      2419 |       2547 |       string
import time:      5744 |       8290 |     logging
import time:     18623 |      26912 |   _pytest.logging
import time:     11300 |      11300 |   _pytest.recwarn
import time:     12811 |      12811 |   _pytest.subtests
import time:     31396 |    2423473 | pytest
import time:     10254 |      10254 | _pytest._argcomplete
import time:       637 |        637 |     unittest.util
import time:      2069 |       2706 |   unittest.result
import time:       145 |        145 |         _heapq
import time:      2222 |       2366 |       heapq
import time:      2536 |       4901 |     difflib
import time:      4347 |       9248 |   unittest.case
import time:       918 |        918 |   unittest.suite
import time:      1072 |       1072 |   unittest.loader
import time:       237 |        237 |       unittest.signals
import time:      1562 |       1799 |     unittest.runner
import time:      1705 |       3503 |   unittest.main
import time:      7007 |      24452 | unittest
import time:       676 |        676 |     xml
import time:      1087 |       1763 |   xml.etree
import time:      1090 |       1090 |   xml.etree.ElementPath
import time:       386 |        386 |     pyexpat
import time:      1379 |       1765 |   _elementtree
import time:      6615 |      11231 | xml.etree.ElementTree
import time:      9844 |       9844 | _pytest.tracemalloc
import time:      1809 |       1809 |     tomllib._re
import time:      1839 |       3648 |   tomllib._parser
import time:      2001 |       5649 | tomllib
import time:       260 |        260 |   _csv
import time:      2680 |       2939 | csv
import time:     40616 |      40616 |   anyio._core
import time:     39598 |      80213 | anyio._core._contextmanagers
import time:       961 |        961 |   contextvars
import time:     23810 |      23810 |   anyio._core._exceptions
import time:       917 |        917 |   sniffio
import time:     27682 |      53369 | anyio._core._eventloop
import time:     21726 |      21726 |   anyio.to_thread
import time:       585 |        585 |         _socket
import time:      5547 |       6132 |       socket
import time:     39567 |      45699 |     anyio.abc._eventloop
import time:     28111 |      28111 |     anyio.abc._resources
import time:      2720 |       2720 |       ipaddress
import time:     29209 |      29209 |       anyio._core._typedattr
import time:     40500 |      40500 |         anyio.abc._tasks
import time:     36764 |      77264 |       anyio.abc._streams
import time:     36233 |     145425 |     anyio.abc._sockets
import time:     35020 |      35020 |     anyio.abc._subprocesses
import time:     39222 |      39222 |     anyio.abc._testing
import time:     36811 |      36811 |       anyio.lowlevel
import time:     39996 |      39996 |       anyio._core._tasks
import time:     35692 |      35692 |       anyio._core._testing
import time:     63141 |     175639 |     anyio._core._synchronization
import time:      1063 |       1063 |         concurrent
import time:      1479 |       1479 |         concurrent.futures._base
import time:      1129 |       1129 |         _interpreters
import time:      7383 |      11053 |       concurrent.futures
import time:     30217 |      41270 |     anyio.from_thread
import time:     47077 |     557459 |   anyio.abc
import time:      1349 |       1349 |   pathlib.types
import time:     37390 |     617921 | anyio._core._fileio
import time:     33684 |      33684 | anyio._core._resources
import time:     24589 |      24589 | anyio._core._signals
import time:      3770 |       3770 |     _ssl
import time:      1346 |       1346 |     base64
import time:      7831 |      12946 |   ssl
import time:     29867 |      29867 |     anyio.streams
import time:     37910 |      67776 |   anyio.streams.stapled
import time:     27471 |      27471 |   anyio.streams.tls
import time:     31425 |     139617 | anyio._core._sockets
import time:     31737 |      31737 |   anyio.streams.memory
import time:     29989 |      61725 | anyio._core._streams
import time:     29152 |      29152 | anyio._core._subprocesses
import time:     31036 |      31036 | anyio._core._tempfile
import time:       445 |        445 | array
import time:       824 |        824 |     asyncio.constants
import time:       505 |        505 |     asyncio.coroutines
import time:       437 |        437 |       asyncio.format_helpers
import time:       587 |        587 |         asyncio.base_futures
import time:      1070 |       1070 |         asyncio.exceptions
import time:      1082 |       1082 |         asyncio.base_tasks
import time:      6651 |       9389 |       _asyncio
import time:      3670 |      13495 |     asyncio.events
import time:       905 |        905 |     asyncio.futures
import time:       578 |        578 |     asyncio.protocols
import time:       651 |        651 |       asyncio.transports
import time:       435 |        435 |       asyncio.log
import time:      4293 |       5378 |     asyncio.sslproto
import time:       770 |        770 |         asyncio.mixins
import time:      4038 |       4808 |       asyncio.locks
import time:       947 |        947 |         asyncio.queues
import time:      1094 |       1094 |         asyncio.timeouts
import time:      4001 |       6040 |       asyncio.tasks
import time:      9551 |      20399 |     asyncio.staggered
import time:       780 |        780 |     asyncio.trsock
import time:     16513 |      59372 |   asyncio.base_events
import time:      4587 |       4587 |   asyncio.graph
import time:      1267 |       1267 |   asyncio.runners
import time:      1292 |       1292 |   asyncio.streams
import time:       759 |        759 |   asyncio.subprocess
import time:       957 |        957 |   asyncio.taskgroups
import time:       609 |        609 |   asyncio.threads
import time:       910 |        910 |     asyncio.base_subprocess
import time:      1803 |       1803 |     asyncio.selector_events
import time:      4189 |       6902 |   asyncio.unix_events
import time:     13522 |      89265 | asyncio
import time:      1030 |       1030 |   _queue
import time:      2321 |       3351 | queue
import time:       932 |        932 |   trio
import time:      1162 |       2093 | trio.from_thread
import time:     27098 |      27098 |       faker.utils
import time:      1290 |       1290 |       pkgutil
import time:     31312 |      59699 |     faker.utils.loading
import time:     12554 |      12554 |       faker.typing
import time:     11611 |      24165 |     faker.generator
import time:     20162 |      20162 |     faker.utils.distribution
import time:     12429 |      12429 |           sysconfig
import time:      3084 |      15512 |         zoneinfo._tzpath
import time:       607 |        607 |         zoneinfo._common
import time:       853 |        853 |         _zoneinfo
import time:      3347 |      20319 |       zoneinfo
import time:      2021 |       2021 |       calendar
import time:     29566 |      51905 |     faker.providers.date_time
import time:       738 |        738 |       colorsys
import time:     22277 |      23014 |     faker.providers.color.color
